iter	Passed	Remaining
0	0	98
1	1	88
2	2	80
3	2	71
4	3	69
5	4	68
6	4	66
7	5	65
8	6	63
9	7	63
10	7	63
11	8	62
12	9	61
13	9	60
14	10	60
15	11	58
16	11	58
17	12	57
18	13	56
19	14	56
20	14	55
21	15	54
22	16	53
23	16	52
24	17	52
25	18	51
26	18	50
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	23	46
33	23	45
34	24	45
35	24	44
36	25	43
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	38
44	30	37
45	31	36
46	31	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	37	29
56	38	28
57	39	28
58	39	27
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	55	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	60	7
89	60	6
90	61	6
91	62	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
